"ID","Y"
5972,2000
57116,2000
29076,2000
83358,2000
84664,2000
17164,2000
15703,2000
94703,2000
4494,2000
62639,2000
390,2000
62391,2000
18989,2000
49756,2000
49414,2000
59861,2000
55405,2000
33835,2000
45723,2000
53737,2000
72512,2000
55312,2000
58750,2000
34512,2000
12385,2000
47535,2000
1033,2000
4116,2000
19497,2000
50936,2000
44073,2000
13733,2000
60693,2000
86822,2000
59976,2000
67459,2000
72060,2000
15411,2000
2066,2000
53516,2000
20393,2000
32790,2000
42934,2000
79599,2000
24730,2000
61839,2000
33717,2000
62038,2000
86174,2000
57944,2000
3887,2000
2516,2000
76583,2000
25597,2000
15239,2000
90042,2000
95928,2000
54829,2000
21540,2000
4963,2000
34515,2000
13016,2000
17015,2000
41843,2000
492,2000
12603,2000
72096,2000
2658,2000
18011,2000
35857,2000
22843,2000
57530,2000
37765,2000
74770,2000
63032,2000
45407,2000
68861,2000
60427,2000
2248,2000
29125,2000
45382,2000
1691,2000
95158,2000
22949,2000
82480,2000
86867,2000
83924,2000
45665,2000
28281,2000
346,2000
79891,2000
70041,2000
84169,2000
70133,2000
8302,2000
74740,2000
70050,2000
57823,2000
79961,2000
18209,2000
51986,2000
80749,2000
46741,2000
19661,2000
34452,2000
85471,2000
20958,2000
59085,2000
58552,2000
1658,2000
54162,2000
46922,2000
54933,2000
49164,2000
50575,2000
96260,2000
68367,2000
66051,2000
63764,2000
78958,2000
58766,2000
9658,2000
57458,2000
56037,2000
50217,2000
23112,2000
46887,2000
30808,2000
64098,2000
63404,2000
35298,2000
28682,2000
80542,2000
80285,2000
79480,2000
30377,2000
75584,2000
41958,2000
42487,2000
73070,2000
34202,2000
44425,2000
33802,2000
42323,2000
95451,2000
95845,2000
28990,2000
79295,2000
17469,2000
19062,2000
19765,2000
19588,2000
1887,2000
55469,2000
29349,2000
58174,2000
59243,2000
238,2000
21892,2000
49598,2000
72440,2000
76136,2000
74701,2000
67315,2000
63434,2000
11196,2000
63137,2000
22653,2000
1631,2000
14551,2000
90686,2000
25930,2000
7615,2000
86630,2000
78478,2000
75476,2000
40303,2000
93561,2000
94329,2000
45568,2000
87119,2000
26662,2000
48238,2000
13535,2000
42468,2000
22534,2000
69445,2000
39439,2000
6230,2000
51514,2000
23631,2000
48765,2000
8707,2000
66901,2000
82684,2000
14956,2000
40672,2000
87850,2000
45748,2000
75757,2000
66311,2000
89509,2000
34959,2000
25168,2000
49651,2000
24721,2000
43447,2000
79964,2000
30699,2000
10792,2000
4604,2000
23377,2000
80284,2000
23136,2000
45315,2000
41735,2000
46601,2000
62102,2000
83416,2000
2986,2000
46446,2000
5523,2000
16224,2000
57618,2000
87569,2000
17779,2000
66913,2000
33052,2000
54412,2000
5235,2000
56123,2000
42491,2000
50511,2000
79795,2000
63609,2000
73862,2000
41155,2000
89902,2000
67269,2000
55907,2000
38000,2000
57189,2000
61231,2000
29004,2000
55926,2000
8530,2000
80075,2000
79439,2000
61269,2000
30219,2000
39147,2000
8295,2000
70026,2000
44355,2000
69111,2000
22230,2000
7020,2000
11088,2000
80496,2000
10914,2000
13307,2000
73068,2000
47126,2000
90375,2000
5959,2000
50376,2000
74055,2000
19050,2000
72238,2000
64775,2000
40598,2000
56730,2000
54083,2000
86122,2000
46208,2000
13452,2000
86200,2000
26575,2000
91578,2000
26981,2000
72919,2000
28657,2000
87286,2000
89,2000
82144,2000
51875,2000
70100,2000
53065,2000
63099,2000
18005,2000
59839,2000
717,2000
73234,2000
60098,2000
95069,2000
89472,2000
42448,2000
18970,2000
96021,2000
80171,2000
16145,2000
13138,2000
84514,2000
80349,2000
79274,2000
2975,2000
30596,2000
68640,2000
4410,2000
88157,2000
59540,2000
72063,2000
57960,2000
6731,2000
96346,2000
37742,2000
88854,2000
41184,2000
21944,2000
52549,2000
48308,2000
510,2000
11564,2000
1853,2000
91240,2000
35196,2000
23865,2000
2402,2000
44898,2000
69917,2000
67293,2000
54563,2000
54580,2000
21061,2000
28008,2000
20544,2000
96209,2000
35206,2000
85179,2000
23630,2000
45149,2000
79192,2000
23223,2000
72426,2000
58811,2000
18747,2000
85550,2000
46447,2000
18244,2000
24319,2000
27116,2000
5013,2000
83645,2000
25314,2000
51785,2000
32538,2000
4056,2000
42838,2000
83916,2000
15381,2000
1308,2000
93070,2000
93833,2000
61115,2000
78438,2000
4779,2000
74916,2000
40843,2000
49674,2000
5652,2000
82614,2000
35551,2000
64963,2000
26853,2000
5927,2000
496,2000
84582,2000
3072,2000
43844,2000
76882,2000
69754,2000
58952,2000
13744,2000
42080,2000
16778,2000
54231,2000
22014,2000
51190,2000
78104,2000
69186,2000
29021,2000
54343,2000
56693,2000
92585,2000
81710,2000
28665,2000
13716,2000
60008,2000
56,2000
13570,2000
10174,2000
26381,2000
81145,2000
37587,2000
28712,2000
73353,2000
55878,2000
65958,2000
93166,2000
